name,state,id,pop_2020
Wilkes County,Georgia,2417267f,9694
Wilkinson County,Georgia,6de5b1d8,8812
Worth County,Georgia,ffdae28b,19972
Hawaii County,Hawaii,a5f49259,203340
Honolulu County,Hawaii,b66e7f30,963826
Kalawao County,Hawaii,4ba5f226,87
Kauai County,Hawaii,0b95de3a,71851
Maui County,Hawaii,f3bf13ac,167902
Ada County,Idaho,84e715f9,494399
Adams County,Idaho,f3b1aac0,4447
Bannock County,Idaho,dd384e5a,88795
Bear Lake County,Idaho,484e098f,6143
Benewah County,Idaho,32ae1d2c,9430
Bingham County,Idaho,97650b59,47202
Blaine County,Idaho,7e9371ea,23426
Boise County,Idaho,5d196238,8065
Bonner County,Idaho,396b0c20,46817
Bonneville County,Idaho,fea99460,122134
Boundary County,Idaho,a71e3cc8,12656
Butte County,Idaho,e660b94b,2646
Camas County,Idaho,657c3ae1,1130
Canyon County,Idaho,3e2c9f6d,237053
Caribou County,Idaho,00074468,7123
Cassia County,Idaho,31442ee6,24277
Clark County,Idaho,ee282303,852
Clearwater County,Idaho,8f89f091,8846
Custer County,Idaho,592c1f33,4249
Elmore County,Idaho,cfc63b1f,27448
Franklin County,Idaho,ab3bf073,14215
Fremont County,Idaho,5304a539,13218
Gem County,Idaho,f0c3837e,18703
Gooding County,Idaho,e1718681,15618
Idaho County,Idaho,13967c52,16823
Jefferson County,Idaho,4d6f94bd,30581
Jerome County,Idaho,be3f4ec6,24578
Kootenai County,Idaho,96349c7e,170628
Latah County,Idaho,3a2ff399,40830
Lemhi County,Idaho,a634d98d,8054
Lewis County,Idaho,38f7a6f1,3838
Lincoln County,Idaho,2ac98069,5358
Madison County,Idaho,6e9d8999,40318
Minidoka County,Idaho,dd09b488,21216
Nez Perce County,Idaho,1621cc2e,40755
Oneida County,Idaho,e3236567,4520
Owyhee County,Idaho,a1b35b14,12133
Payette County,Idaho,d2697693,24771
Power County,Idaho,ea8daa9f,7643
Shoshone County,Idaho,ec72da39,12911
Teton County,Idaho,d9edacef,12501
Twin Falls County,Idaho,c8403332,88411
Valley County,Idaho,75dc7215,11792
Washington County,Idaho,d0cc39ea,10360
Adams County,Illinois,16d0a532,64783
Alexander County,Illinois,9373d2a2,5497
Bond County,Illinois,c5f05257,16262
Boone County,Illinois,50242cd4,52777
Brown County,Illinois,8ca3c9bc,6546
Bureau County,Illinois,e9992d72,32303
Calhoun County,Illinois,ff3ef840,4616
Carroll County,Illinois,feedb17d,14241
Cass County,Illinois,f561c055,11925
Champaign County,Illinois,99291b50,209192
Christian County,Illinois,893d5542,32075
Clark County,Illinois,01ca2e23,15268
Clay County,Illinois,6e9412b6,13079
Clinton County,Illinois,602d7f46,37398
Coles County,Illinois,28fa860f,50383
Cook County,Illinois,3b7be6ca,5108284
Crawford County,Illinois,087e7198,18512
Cumberland County,Illinois,c883ee5f,10649
DeKalb County,Illinois,1f826b94,104491
De Witt County,Illinois,6fd7bfd8,15368
Douglas County,Illinois,6f317731,19510
DuPage County,Illinois,c1652a8a,917481
Edgar County,Illinois,10716047,16858
Edwards County,Illinois,e46d49c5,6356
Effingham County,Illinois,a367eb4d,34065
Fayette County,Illinois,a31705e8,21264
Ford County,Illinois,4d3d40ec,12949
Franklin County,Illinois,4c4b2f98,38060
Fulton County,Illinois,ad80a111,33690
Gallatin County,Illinois,b190fcc2,4793
Greene County,Illinois,87b462c6,12702
Grundy County,Illinois,c51889a1,50993
Hamilton County,Illinois,5a39e7a7,8084
Hancock County,Illinois,c9995f86,17422
Hardin County,Illinois,6fc984e3,3808
Henderson County,Illinois,2551ed34,6535
Henry County,Illinois,997d15dc,48411
Iroquois County,Illinois,fe49f0c8,26711
Jackson County,Illinois,988a4479,56675
Jasper County,Illinois,b71069d8,9465
Jefferson County,Illinois,995492ef,37235
Jersey County,Illinois,210506aa,21616
Jo Daviess County,Illinois,740d819e,21239
Johnson County,Illinois,87542a2b,12358
Kane County,Illinois,9b66df7f,531010
Kankakee County,Illinois,4b51cbb2,108594
Kendall County,Illinois,66538a16,130638
Knox County,Illinois,e44d1bd5,49053
Lake County,Illinois,01a82834,693593
LaSalle County,Illinois,31f4cd2c,107571
Lawrence County,Illinois,3bab8bc6,15467
Lee County,Illinois,aa50ea9a,33647
Livingston County,Illinois,875dfda2,35414
Logan County,Illinois,d710bd10,28383
McDonough County,Illinois,0e7f0534,29295
McHenry County,Illinois,5e6250e3,305888
McLean County,Illinois,43af4eeb,171256
Macon County,Illinois,c725f64c,103015
Macoupin County,Illinois,fb157398,44567
Madison County,Illinois,1ee3fdda,262635
Marion County,Illinois,fdebd024,37045
Marshall County,Illinois,ec10c633,11309
Mason County,Illinois,dac1986d,13173
Massac County,Illinois,685a1579,13636
Menard County,Illinois,f8684739,12068
Mercer County,Illinois,7e06f75c,15225
Monroe County,Illinois,8dddfa6b,34739
Montgomery County,Illinois,e0906413,28045
Morgan County,Illinois,d86cf22b,33400
Moultrie County,Illinois,c4ca6a13,14347
Ogle County,Illinois,1ed11727,50306
Peoria County,Illinois,810b57e2,177652
Perry County,Illinois,3693bc75,20664
Piatt County,Illinois,4f376e17,16355
Pike County,Illinois,54b0531c,15239
Pope County,Illinois,1c082350,4142
Pulaski County,Illinois,00465a96,5201
Putnam County,Illinois,503c4e41,5716
Randolph County,Illinois,8c608426,31351
Richland County,Illinois,7b3bf757,15507
Rock Island County,Illinois,fbce705b,140907
St. Clair County,Illinois,3031dfb7,258046
