,name,state,id,pop_2020
22509,Byron township,North Dakota,df06a4b4,25
22512,Callahan township,North Dakota,80c075b6,25
22543,Cayuga city,North Dakota,ddf4a84e,25
22554,Central township,North Dakota,be996c7d,25
22689,Duck Creek township,North Dakota,058f9db7,25
22729,Egeland city,North Dakota,b44291d6,25
22740,Elkhorn township,North Dakota,b378530f,25
22745,Elliott city,North Dakota,370febd3,25
22797,Fertile Valley township,North Dakota,0710ccb1,25
23052,Hume township,North Dakota,5dc47561,25
23171,Leval township,North Dakota,a945ddaa,25
23449,Orange township,North Dakota,a030a618,25
23495,Petersburg township,North Dakota,9f303966,25
23504,Picton township,North Dakota,e82c1b93,25
23542,Prescott township,North Dakota,668c0af9,25
23548,Prospect township,North Dakota,d7fbe4cc,25
23556,Randolph township,North Dakota,02dd7e25,25
23649,Saline township,North Dakota,6751bcf4,25
23715,Soo township,North Dakota,384457d3,25
23777,Steiner township,North Dakota,f5588daf,25
23782,Stillwater township,North Dakota,851d6f05,25
23797,Sullivan township,North Dakota,50e29c27,25
23987,Willow Vale township,North Dakota,092d06d2,25
30007,Antelope Valley township,South Dakota,bf4ab6a9,25
30074,Black Dog UT,South Dakota,0bc8d655,25
30166,Cedar township,South Dakota,21ebccaf,25
30585,King township,South Dakota,f54e0b08,25
30850,Pioneer township,South Dakota,f0de29f8,25
31068,Surprise Valley township,South Dakota,0c78906c,25
31218,Wheaton township,South Dakota,9e9040cc,25
8757,Brownell city,Kansas,3e7c6051,26
8816,Cedar Point city,Kansas,88e00851,26
9475,Lafayette township,Kansas,a80d51f2,26
10168,Shermanville township,Kansas,0abef443,26
18753,Hayes township (Custer County),Nebraska,34289d03,26
19044,Preston village,Nebraska,270ef4ab,26
22297,Adler township,North Dakota,e142677c,26
22336,Anna township,North Dakota,a9ece875,26
22338,Antelope Lake township,North Dakota,25408876,26
22340,Antler city,North Dakota,1824ed64,26
22368,Baer township,North Dakota,1d804bab,26
22377,Banner township (Cavalier County),North Dakota,bc4a1a7b,26
22683,Drayton township,North Dakota,69cc98fe,26
22704,East Fork township (Williams County),North Dakota,eff3ca28,26
22748,Ellsbury township,North Dakota,991100f2,26
22871,Germantown township,North Dakota,45d2c506,26
22897,Golden Valley township,North Dakota,80c4c632,26
22949,Gutschmidt township,North Dakota,aeeed3d4,26
22955,Haley township,North Dakota,27bb9733,26
23015,Henry township,North Dakota,62631a41,26
23046,Howell township,North Dakota,be2121cf,26
23076,Janke township,North Dakota,b2f4a493,26
23182,Lincoln Dale township,North Dakota,128f6a60,26
23294,Merkel township,North Dakota,4e059a98,26
23381,Newland township,North Dakota,9dcc1089,26
23418,Northfield township,North Dakota,26ed540a,26
23557,Raney township,North Dakota,f92259b3,26
23595,Robinson township,North Dakota,eddb84f6,26
23648,Saddle Butte township,North Dakota,b09b9e52,26
23776,Steiber township,North Dakota,06c26d39,26
23814,Tanner township,North Dakota,fa15e0c7,26
23834,Tolgen township,North Dakota,092f178f,26
23973,Whitestone township,North Dakota,ea8b8121,26
24018,York township,North Dakota,33d5951d,26
30186,Chelsea town,South Dakota,08368b2b,26
30199,Clark township (Faulk County),South Dakota,0e536b5e,26
30512,Hoffman township,South Dakota,970e1a45,26
30664,Lone Star township,South Dakota,f525ba23,26
30809,Oneida township,South Dakota,5a80df5f,26
30924,Ree Heights UT,South Dakota,d6016871,26
30932,Richfield township,South Dakota,fdd18dde,26
31100,Turton township,South Dakota,2c3e3667,26
15246,Johnson city,Minnesota,830089c3,27
15668,Minnie township,Minnesota,a7107d7c,27
16152,Russia township,Minnesota,ce350cdb,27
22318,Alma township,North Dakota,54c528b4,27
22372,Balfour city,North Dakota,de0930c8,27
